experiment,objsize,latency.min,latency.max,latency.mean,latency.stdev,latency:percentile(50),latency:percentile(75), latency:percentile(90), latency:percentile(99),latency:percentile(99.999),resp_lat.min,resp_lat.max,resp_lat.mean,resp_lat.stdev,resp_lat:percentile(50),resp_lat:percentile(75),resp_lat:percentile(90),resp_lat:percentile(99),resp_lat:percentile(99.999),duration,requests,bytes
IPVS,64,118.000000,108338.000000,3231.313694,10441.051192,464.000000,636.000000,4660.000000,58370.000000,107733.000000,67555.000000,102910.000000,83104.650000,10235.487921,83410.000000,91110.000000,100454.000000,102910.000000,102910.000000,1001258,165322,51241780
IPVS,128,106.000000,222008.000000,29181.855352,49967.684409,381.000000,41938.000000,117641.000000,180803.000000,221149.000000,41383.000000,79787.000000,58583.850000,10860.106747,59710.000000,68161.000000,76585.000000,79787.000000,79787.000000,1000736,116515,43687415
IPVS,256,106.000000,241816.000000,15239.557477,37929.995162,455.000000,944.000000,62436.000000,173498.000000,241380.000000,41363.000000,118242.000000,76876.750000,23189.055229,73777.000000,93686.000000,114460.000000,118242.000000,118242.000000,1001606,152896,77052209
IPVS,512,115.000000,296735.000000,29232.683603,55575.183382,455.000000,32107.000000,110925.000000,232640.000000,295843.000000,19636.000000,87040.000000,56449.750000,16955.729620,60343.000000,68840.000000,74414.000000,87040.000000,87040.000000,1000380,112173,85246055
IPVS,1024,107.000000,249091.000000,17642.926777,40790.282354,447.000000,3260.000000,74136.000000,181495.000000,247645.000000,26860.000000,117424.000000,72808.190476,23903.890291,71565.000000,89212.000000,99500.000000,117424.000000,117424.000000,1099957,152019,193512857
IPVS,2048,119.000000,237521.000000,12933.849008,33329.317227,542.000000,1278.000000,49202.000000,163273.000000,236711.000000,37202.000000,87240.000000,62084.950000,15134.241311,65313.000000,71929.000000,85494.000000,87240.000000,87240.000000,1000659,123448,283558490
IPVS,4096,148.000000,151779.000000,7193.137700,21096.678449,566.000000,834.000000,18298.000000,110778.000000,150942.000000,39838.000000,91444.000000,62909.523810,14580.104093,60590.000000,71404.000000,84575.000000,91444.000000,91444.000000,1100099,131351,570845121
IPVS,8192,152.000000,273323.000000,16915.427598,43649.942054,654.000000,1052.000000,69046.000000,207106.000000,272288.000000,23696.000000,78474.000000,50820.000000,15602.251171,49232.000000,61050.000000,71990.000000,78474.000000,78474.000000,1099852,106250,897009538
IPVS,16384,280.000000,213768.000000,14913.419919,37161.670966,883.000000,1992.000000,55365.000000,182785.000000,213768.000000,31404.000000,39460.000000,35473.550000,1936.406234,35585.000000,36300.000000,38646.000000,39460.000000,39460.000000,1002713,70492,1173198761
